StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,MDEES_1,MDEES_2,MDEES_3,MDEES_4,MDEES_5,MDEES_6,MDEES_7,MDEES_8,MDEES_9,MDEES_10,MDEES_11,MDEES_12,MDEES_13,MDEES_14,MDEES_15,MDEES_16,MDEES_17,MDEES_18,MDEES_19,MDEES_20,MDEES_21,MDEES_22,MDEES_23,MDEES_24,MDEES_25,MDEES_26,MDEES_27,MDEES_28,MDEES_29,MDEES_30,Tr_A_1,Tr_A_2,Time_First Click,Time_Last Click,Time_Page Submit,Time_Click Count,Te_A_1,ISO_1,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9,MSE_10,MSE_11,MSE_12,Q3_a,PROLIFIC_PID
11/12/2023 11:25,11/12/2023 11:43,IP Address,90.156.25.121,95,1080,FALSE,,FS_1gnABwJZY9nn9Cm,,,,,,,anonymous,EN-GB,Male,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Neutral,Slightly Agree,Slightly Agree,Neutral,Neutral,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Disagree,Neutral,Strongly Agree,Slightly Agree,Neutral,Neutral,Slightly Agree,Strongly Agree,Slightly Agree,Neutral,Neutral,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Yes,Yes,29.842,29.842,284.54,1,"Library,Train",Equal overlap,3,5,3,3,5,5,5,5,Entirely (6),5,5,5,b,5e918b7bf9c9d14abca01622
11/12/2023 11:26,11/12/2023 11:43,IP Address,93.62.65.150,95,1070,FALSE,,FS_2rPihZbhZ7GIK4x,,,,,,,anonymous,EN-GB,Female,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Yes,Yes,7.645,280.871,282.481,3,"Library,Train",Most overlap,4,5,4,4,5,Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),5,b,653d547023cf972b25c21c79
11/12/2023 11:26,11/12/2023 11:35,IP Address,165.73.53.247,95,558,FALSE,,FS_12DcNl1IKH9L7za,,,,,,,anonymous,EN-GB,Female,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Yes,Yes,209.058,209.058,260.87,1,"Library,Train",Some overlap,5,2,2,1,3,5,Entirely (6),Entirely (6),5,3,5,5,b,61099a311cb3f711346d1b05
11/12/2023 11:26,11/12/2023 12:04,IP Address,41.113.4.22,95,2307,FALSE,,FS_2AZNNULLUmkiALY,,,,,,,anonymous,EN-GB,Male,Slightly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neutral,Neutral,Neutral,Slightly Agree,Slightly Agree,Neutral,Neutral,Strongly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Disagree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Neutral,Yes,Yes,0,0,241.647,0,"Library,Train",No overlap,Entirely (6),4,4,5,Entirely (6),Entirely (6),Entirely (6),4,Entirely (6),2,Entirely (6),1,b,60bddc13bec08854c614d30b
11/12/2023 11:26,11/12/2023 11:39,IP Address,41.114.98.149,95,774,FALSE,,FS_2zUaCDUcW4exTMO,,,,,,,anonymous,EN-GB,Male,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Neutral,Slightly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,33.792,289.761,291.299,3,"Library,Train",Little overlap,2,2,2,1,5,2,2,5,Entirely (6),2,2,1,b,611d0b2d75edc18511a32fc4
11/12/2023 11:26,11/12/2023 11:41,IP Address,46.205.209.143,95,882,FALSE,,FS_1j7eWpjmtIjIbDm,,,,,,,anonymous,EN-GB,Female,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,25.687,25.687,275.316,1,"Library,Train",Very strong overlap,Entirely (6),Entirely (6),5,5,Entirely (6),Entirely (6),Entirely (6),5,5,Entirely (6),Entirely (6),Entirely (6),b,61057ef878bd36c2c0e5737b
11/12/2023 11:28,11/12/2023 11:40,IP Address,145.40.153.183,95,736,FALSE,,FS_1OjCQxZWNSECLE8,,,,,,,anonymous,EN-GB,Female,Neutral,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Neutral,Neutral,Strongly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Neutral,Strongly Agree,Neutral,Slightly Disagree,Slightly Agree,Neutral,Neutral,Strongly Agree,Neutral,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Yes,Yes,9.704,17.321,268.984,4,"Library,Train",Strong overlap,Entirely (6),5,4,5,Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),Entirely (6),b,63d8073e2f2480e62ba8d4b9
11/12/2023 11:31,11/12/2023 11:42,IP Address,105.244.129.145,95,681,FALSE,,FS_1ClnZJGyWvtAiVw,,,,,,,anonymous,EN-GB,Female,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neutral,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Yes,Yes,10.27,276.075,277.495,3,"Library,Train",Strong overlap,Entirely (6),Entirely (6),5,Entirely (6),Entirely (6),5,Entirely (6),Entirely (6),5,Entirely (6),Entirely (6),Entirely (6),b,616dac7937032714ba6783e4
11/12/2023 11:33,11/12/2023 11:53,IP Address,169.0.82.217,95,1165,FALSE,,FS_ptSWKGw3tNTxb9v,,,,,,,anonymous,EN-GB,Female,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Slightly Agree,,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,4.671,267.222,269.502,4,"Library,Train",Some overlap,4,4,4,4,4,5,4,5,4,5,5,Not at all (0),b,6130f605465cea9ed74f490b
06/12/2023 12:18,06/12/2023 12:43,IP Address,154.66.115.67,100,1474,TRUE,06/12/2023 12:43,R_siMA0zXVDLgVfzP,,,,,-29.8556,31.0449,anonymous,EN-GB,Male,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Slightly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Strongly Disagree,,Neutral,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,233.821,233.821,566.094,1,Library,No overlap,Entirely (6),5,Not at all (0),4,Entirely (6),Entirely (6),5,Entirely (6),Not at all (0),Entirely (6),5,5,b,652d251e1cc2686671f01244
